Station Name,StationID,Latitude,Longitude
ATHLONE,ATL,-33.9608899999999,18.501622
AVONDALE,AVD,-33.897776,18.5930719999999
BELHAR,BOH,-33.939441,18.609057
BELLVILLE,BLE,-33.906298,18.6274909999999
BLACKHEATH,BKH,-33.964266,18.701263
BONTEHEUWEL,BTL,-33.942095,18.550369
BRACKENFELL,BKL,-33.881123,18.688336
CLAREMONT,CMC,-33.981481,18.467184
CRAWFORD,CRF,-33.9764219999999,18.501359
DE GRENDEL,DEG,-33.893501,18.5787319999999
DIEPRIVIER,DPE,-34.035454,18.466953
EERSTE RIVER,EER,-34.000743,18.7309139999999
EIKENFONTEIN,EIK,-33.857134,18.7112699999999
ELSIES RIVER,ERH,-33.9105399999999,18.5690829999999
FAURE,FAU,-34.0262359999999,18.74719
FIRGROVE,FGV,-34.055629,18.792935
GLENCAIRN,GCR,-34.1641229999999,18.43203
HARFIELD RD,HRD,-33.988286,18.471187
HAZENDAL,HAZ,-33.9533119999999,18.502537
HEATHFIELD,HEH,-34.0460769999999,18.4655939999999
HEIDEVELD,HED,-33.969678,18.5617969999999
KALK BAY,KAB,-34.126299,18.449956
KAPTEINSKLIP,KTE,-34.067222,18.620684
KENILWORTH,KLW,-33.995285,18.4729999999999
KHAYELITSHA,KYA,-34.0479849999999,18.6707719999999
KOEBERG RD,KOB,-33.925787,18.47792
KRAAIFONTEIN,KAI,-33.847178,18.723839
LAKESIDE,LSD,-34.088484,18.462489
LANGA,LAG,-33.9392,18.52966
LANSDOWNE,LNE,-33.987594,18.50394
LAVISTOWN,LSN,-33.943277,18.584198
LENTEGEUR,LEN,-34.0344369999999,18.611373
MAITLAND,MLD,-33.924712,18.487822
MANDALAY,MCF,-34.018928,18.624421
MONTE VISTA,MNV,-33.8916469999999,18.548935
MOWBRAY,MWY,-33.946733,18.4738849999999
MUIZENBERG,MZR,-34.109571,18.4679159999999
MUTUAL,MTX,-33.9217489999999,18.5136959999999
NDABENI,NBI,-33.928238,18.4954199999999
NETREG,NTG,-33.9527489999999,18.563571
NEWLANDS,NDL,-33.9741939999999,18.46761
NOLUNGILE,NOL,-34.016939,18.648924
NONKQUBELA,NNK,-34.026783,18.6630779999999
NYANGA,NAG,-33.9931109999999,18.5599139999999
OBSERVATORY,OVY,-33.937882,18.471405
OOSTERZEE,OOZ,-33.8999409999999,18.607073
OTTERY,OTY,-34.0134619999999,18.495211
PAROW,POW,-33.9095749999999,18.586203
PENTECH,PEI,-33.934832,18.645965
PHILIPPI,PPI,-34.013361,18.5853849999999
PINELANDS,PND,-33.9401209999999,18.490662
PLUMSTEAD,PMS,-34.022033,18.469739
RETREAT,RET,-34.0598389999999,18.4629359999999
RONDEBOSCH,RCH,-33.962161,18.472369
ROSEBANK,RSN,-33.9547239999999,18.473143
SAREPTA,SRP,-33.926513,18.661384
SOMERSET WEST,SSW,-34.0842239999999,18.841436
SOUTHFIELD,SFS,-34.032969,18.4815989999999
ST JAMES,STJ,-34.119311,18.45842
STEENBERG,STX,-34.076405,18.4636889999999
STEURHOF,STH,-34.0288359999999,18.4689079999999
STIKLAND,SKD,-33.9047679999999,18.6563659999999
STRAND,STD,-34.115026,18.832457
THORNTON,THO,-33.918905,18.532447
TYGERBERG,TYG,-33.9073879999999,18.601514
UNIBELL,UBL,-33.937044,18.6285799999999
VAN DER STEL,VSL,-34.0950399999999,18.852837
VASCO,VSO,-33.9112149999999,18.558429
WETTON,WTN,-34.0019059999999,18.501037
WITTEBOME,WTE,-34.0140439999999,18.4707089999999
WOODSTOCK,WDC,-33.925483,18.445608
WYNBERG,WYB,-34.0048559999999,18.4712169999999
YSTERPLAAT,YPT,-33.919921,18.476845
AKASIA PARK,,-33.8941434779141,18.5286021432697
CAPE TOWN,,-33.9225554600553,18.4269023589827
CENTURY CITY,,-33.9009208844292,18.5116399131846
CHRIS HANI,,-34.0462200486924,18.7099464150101
DAL JOSAFAT,,-33.7071042451046,18.9798585652975
DU TOIT,,-33.9227987310958,18.8540860685677
ESPLANADE,,-31.4834142224192,17.9187054103782
FALSE BAY,,-34.1023994828804,18.4685382576464
FISH HOEK,,-34.1370053081371,18.4323160806619
GOODWOOD,,-33.9130438809988,18.5471905644455
HUGUENOT,,-33.7296866215966,18.976674240162
KENTEMADE,,-33.9133019669878,18.4972713806506
KLAPMUTS,,-33.8059118139404,18.8701667594808
KUILS RIVER,,-33.9333726278061,18.6777034229804
KUYASA,,-34.0548454853868,18.6934414245614
LYNEDOCH,,-33.980981534546,18.771472567161
MBEKWENI,,-33.6744530589564,18.985405319815
MELTONROSE,,-33.9888489781711,18.7205038073673
MITCHELLS PL.,,-34.0500495436527,18.6191288413725
MULDERSVLEI,,-33.8301140681111,18.82804517212
PAARL,,-33.7649209757143,18.964532453657
SALT RIVER,,-33.9273757118098,18.4646973785284
SIMON`S TOWN,,-34.1866600729958,18.4253817248427
STELLENBOSCH,,-33.9386501518327,18.8497147094876
STOCK ROAD,,-34.0139984173882,18.6061634806557
SUNNY COVE,,-34.1442913044306,18.4372448671693
VLOTTENBURG,,-33.9618964100047,18.7999707113381
WELLINGTON,,-33.6344163232339,18.9917126999514
WOLTEMADE,,-33.9219825652544,18.5074110073639
